Identifier,Fish ID,Feed,Position,Replicates,Fish_Type,Lipid_%,C4:0,C6:0,C8:0,C10:0,C11:0,C12:0,C14:0,C14:1,C15:0,C15:1,C16:0,C16:1,C17:0,C17:1,C18:0,C18:1n9c,C18:1n9t,C18:2n6t,C18:2n6c,C18:3n6c,C18:3n3c,C20:0,C20:1n9,C20:2,C20:3n6,C20:4n6,C21:0,C20:3n3,C20:5n3,C22:0,C22:1n9,C22:2,C23:0,DPA,C22:6n3,C24:0,C24:1n9
S16_T_R2,S16,C,T,R2,Big,3.02,0,0,0,0,0,0.247799174,1.566982915,0,0.191528242,0,12.27972296,1.645931122,0.131390762,0.323980014,3.598695733,33.01328689,2.349536434,0,10.52084749,0.212336909,4.510415834,0.266386637,2.618213605,0.942130954,0.443702176,0.775592631,0.411233717,0.779297743,4.975014172,0.111091081,1.251522143,0.147153852,0.236187897,1.864633788,12.37951799,0,0.45059835
S16_T_R3,S16,C,T,R3,Big,2.36,0.321853785,0,0,0,0.280612905,0,1.487890369,0,0.205650698,0,13.81068064,1.522552597,0,0.341372767,4.200392137,28.48397543,2.161242911,0,9.243135171,0.536017305,4.090606462,0.218671135,2.166925832,0.84327704,0.449948932,0.898711185,0.375958596,0.771502043,5.8631698,0,0.997250962,0,0.324669792,2.218965442,16.0928888,0,0.455212783
S17_NQC1_R1,S17,C,NQC1,R1,Big,10.04,0,0,0,0,0,0.094102297,1.882253326,0.072234115,0.165750233,0.066640276,10.11477563,2.148515258,0.174149829,0.114261639,3.150106193,38.68313276,1.537833234,0.088616625,14.06184742,0.224685668,5.655159118,0.32951743,3.700360585,1.207269731,0.361225076,0.31995589,0.52371845,0.840418311,3.085083951,0.142293466,1.614708188,0.161081842,0.12790641,1.375514522,5.36415086,0,0.323991161
S17_NQC1_R2,S17,C,NQC1,R2,Big,11.02,0,0,0,0,0.058373586,0.042132558,2.290501641,0.050827018,0.074897876,0.191116166,10.8321345,2.694113768,0.259823419,0.297787193,1.549130062,31.82300038,1.791583154,0.13906137,17.59938147,0.2770672,7.085545522,0.37352513,4.370331455,1.441905585,0.407932337,0.302688939,0.633078921,1.002995123,3.141042152,0.160495609,1.918435954,0.305282319,0.110318019,1.460989896,4.622812601,0.061872809,0.375758157
S17_NQC1_R3,S17,C,NQC1,R3,Big,9.46,0,0,0,0,0.054261312,0.03781127,2.067451509,0.050835455,0.068719976,0.173011382,9.939242925,2.353057455,0.238305406,0.27481577,3.735505474,35.90882413,1.931603809,0.057756899,15.23460242,0.246522231,6.163332045,0.328844903,3.855914896,1.268861698,0.376006185,0.301136886,0.553272535,0.903789036,3.043150749,0.143497292,1.696463818,0.28463917,0.106213822,1.356630748,4.793570512,0.044235055,0.330371204
S17_NQC2_R1,S17,C,NQC2,R1,Big,15.3,0,0,0,0,0.040191396,0.044700896,2.517590954,0.058710901,0.081085776,0.2074777,11.67966133,2.894887447,0.284071297,0.321227243,2.361011997,26.74639471,1.692261874,0.156022902,18.76679401,0.142738976,7.632123143,0.410687662,4.782789357,1.576740921,0.422277946,0.28508917,0.700829594,1.084397858,3.34289284,0.192113248,2.118984496,0.351534463,0.116378748,1.538931344,4.577363645,0.058032094,0.388679285
S17_NQC2_R2,S17,C,NQC2,R2,Big,12.49,0.049266206,0,0,0,0,0.04087908,2.186643797,0.052716424,0.073817809,0.183954884,10.24288285,2.511582809,0.239249147,0.285347119,4.667240297,32.48337473,1.817464589,0.132814731,16.43006511,0.133519254,6.620545452,0.35576013,4.168139244,1.365082593,0.373270964,0.253185519,0.607222728,0.945580884,2.96041691,0.173261512,1.854214146,0.325432282,0.120797552,1.406539792,4.367284954,0.055207617,0.338262617
S17_NQC2_R3,S17,C,NQC2,R3,Big,14.58,0,0,0,0,0.048041368,0.039832414,2.124034925,0.050147622,0.070699708,0.181316314,10.17071582,2.447413037,0.264801746,0.282474164,4.05839086,36.86631415,1.941844228,0.057051071,15.87826982,0.260597003,6.448481373,0.356450254,4.026862438,1.346766322,0.380258401,0.269602956,0.596838382,0.93757367,2.987932424,0.161663842,1.768885831,0.302945437,0.110515818,1.37334556,1.643633911,0.046733206,0.345537466
S17_F2_R1,S17,C,F2,R1,Big,17.94,0,0,0,0,0,0.053860424,2.622399945,0.060598509,0.083131177,0.215825827,11.97295794,2.982529884,0.273626403,0.331228022,2.616365005,25.61941652,1.49536568,0.156060622,18.98462632,0.148011204,7.856455685,0.380126553,4.612072305,1.541822113,0.429637854,0.294733434,0.702570839,1.110317751,3.577151946,0.175569304,1.96246778,0.360621524,0.122695314,1.560052538,4.821298723,0.063714041,0.344541126
S17_F2_R2,S17,C,F2,R2,Big,16.49,0.036768743,0,0,0,0,0.050081343,2.625337372,0.063353141,0.080375973,0.214647674,12.17774264,2.971245485,0.269365283,0.3293322,1.642229518,27.15496273,1.736589674,0.156460707,18.48460797,0.148475941,7.598144932,0.383594825,4.605991009,1.536434421,0.422516298,0.303180132,0.692343314,1.08404867,3.541993603,0.165299204,1.985949957,0.33266114,0.110503622,1.551177874,4.675505267,0.064087288,0.375796374
